epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,56.6438,0.28407,0.99794,1,0.01359,0.000415653,0.000415653,0.000415653
2,104.341,0.11157,0.99382,1,0.02339,0.000804853,0.000804853,0.000804853
3,151.807,0.12968,0.97992,1,0.11463,0.00116655,0.00116655,0.00116655
4,203.614,0.11575,0.99279,1,0.02417,0.00112625,0.00112625,0.00112625
5,254.593,0.09817,0.99434,1,0.01796,0.001085,0.001085,0.001085
6,304.855,0.08304,0.99743,1,0.01399,0.00104375,0.00104375,0.00104375
7,355.88,0.05121,0.99949,1,0.00508,0.0010025,0.0010025,0.0010025
8,406.445,0.05145,0.99949,1,0.0073,0.00096125,0.00096125,0.00096125
9,455.783,0.0406,0.99897,1,0.00642,0.00092,0.00092,0.00092
10,506.557,0.02623,1,1,0.00164,0.00087875,0.00087875,0.00087875
11,557.227,0.03124,1,1,0.00253,0.0008375,0.0008375,0.0008375
12,606.247,0.03084,0.99897,1,0.00502,0.00079625,0.00079625,0.00079625
13,655.523,0.03076,1,1,0.00412,0.000755,0.000755,0.000755
14,703.005,0.02495,0.99897,1,0.00186,0.00071375,0.00071375,0.00071375
15,751.491,0.02358,0.99949,1,0.00299,0.0006725,0.0006725,0.0006725
16,799.787,0.02292,0.99949,1,0.00222,0.00063125,0.00063125,0.00063125
17,846.828,0.02687,0.99846,1,0.0036,0.00059,0.00059,0.00059
18,894.108,0.01777,0.99897,1,0.00213,0.00054875,0.00054875,0.00054875
19,941.256,0.01547,1,1,0.0017,0.0005075,0.0005075,0.0005075
20,988.917,0.01206,1,1,0.00167,0.00046625,0.00046625,0.00046625
21,1031.82,0.01962,1,1,0.00141,0.000425,0.000425,0.000425
22,1077.64,0.00865,1,1,0.00138,0.00038375,0.00038375,0.00038375
23,1125.18,0.01598,0.99897,1,0.00258,0.0003425,0.0003425,0.0003425
24,1172.6,0.0126,1,1,0.00122,0.00030125,0.00030125,0.00030125
25,1221.22,0.00757,1,1,0.00111,0.00026,0.00026,0.00026
26,1268.88,0.00631,1,1,0.00111,0.00021875,0.00021875,0.00021875
27,1316.27,0.00654,1,1,0.00035,0.0001775,0.0001775,0.0001775
28,1364.33,0.00621,1,1,0.00032,0.00013625,0.00013625,0.00013625
29,1413.33,0.00627,1,1,0.00092,9.5e-05,9.5e-05,9.5e-05
30,1460.89,0.00377,1,1,0.00039,5.375e-05,5.375e-05,5.375e-05
